"Throughput (Mbps)","Time (s)","Flow"
4.28402,28.6,"Flow 3"
3.62973,28.6,"Flow 4"
80.3062,28.6,"Flow 5"
3.62973,28.6,"Flow 6"
80.3062,28.6,"Flow 7"
3.62973,28.6,"Flow 8"
95.5048,28.7,"Flow 1"
80.3062,28.7,"Flow 2"
4.28402,28.7,"Flow 3"
3.62973,28.7,"Flow 4"
80.3062,28.7,"Flow 5"
3.62973,28.7,"Flow 6"
80.3062,28.7,"Flow 7"
3.62973,28.7,"Flow 8"
95.5048,28.8,"Flow 1"
80.3062,28.8,"Flow 2"
4.28402,28.8,"Flow 3"
3.62973,28.8,"Flow 4"
80.3062,28.8,"Flow 5"
3.62973,28.8,"Flow 6"
80.3062,28.8,"Flow 7"
3.62973,28.8,"Flow 8"
95.5048,28.9,"Flow 1"
80.3062,28.9,"Flow 2"
4.28402,28.9,"Flow 3"
3.62973,28.9,"Flow 4"
80.3062,28.9,"Flow 5"
3.62973,28.9,"Flow 6"
80.3062,28.9,"Flow 7"
3.62973,28.9,"Flow 8"
95.5048,29,"Flow 1"
80.3062,29,"Flow 2"
4.28402,29,"Flow 3"
3.62973,29,"Flow 4"
80.3062,29,"Flow 5"
3.62973,29,"Flow 6"
80.3062,29,"Flow 7"
3.62973,29,"Flow 8"
95.5048,29.1,"Flow 1"
80.3062,29.1,"Flow 2"
4.28402,29.1,"Flow 3"
3.62973,29.1,"Flow 4"
80.3062,29.1,"Flow 5"
3.62973,29.1,"Flow 6"
80.3062,29.1,"Flow 7"
3.62973,29.1,"Flow 8"
95.5048,29.2,"Flow 1"
80.3062,29.2,"Flow 2"
4.28402,29.2,"Flow 3"
3.62973,29.2,"Flow 4"
80.3062,29.2,"Flow 5"
3.62973,29.2,"Flow 6"
80.3062,29.2,"Flow 7"
3.62973,29.2,"Flow 8"
95.5048,29.3,"Flow 1"
80.3062,29.3,"Flow 2"
4.28402,29.3,"Flow 3"
3.62973,29.3,"Flow 4"
80.3062,29.3,"Flow 5"
3.62973,29.3,"Flow 6"
80.3062,29.3,"Flow 7"
3.62973,29.3,"Flow 8"
95.5048,29.4,"Flow 1"
80.3062,29.4,"Flow 2"
4.28402,29.4,"Flow 3"
3.62973,29.4,"Flow 4"
80.3062,29.4,"Flow 5"
3.62973,29.4,"Flow 6"
80.3062,29.4,"Flow 7"
3.62973,29.4,"Flow 8"
95.5048,29.5,"Flow 1"
80.3062,29.5,"Flow 2"
4.28402,29.5,"Flow 3"
3.62973,29.5,"Flow 4"
80.3062,29.5,"Flow 5"
3.62973,29.5,"Flow 6"
80.3062,29.5,"Flow 7"
3.62973,29.5,"Flow 8"
95.5048,29.6,"Flow 1"
80.3062,29.6,"Flow 2"
4.28402,29.6,"Flow 3"
3.62973,29.6,"Flow 4"
80.3062,29.6,"Flow 5"
3.62973,29.6,"Flow 6"
80.3062,29.6,"Flow 7"
3.62973,29.6,"Flow 8"
95.5048,29.7,"Flow 1"
80.3062,29.7,"Flow 2"
4.28402,29.7,"Flow 3"
3.62973,29.7,"Flow 4"
80.3062,29.7,"Flow 5"
3.62973,29.7,"Flow 6"
80.3062,29.7,"Flow 7"
3.62973,29.7,"Flow 8"
95.5048,29.8,"Flow 1"
80.3062,29.8,"Flow 2"
4.28402,29.8,"Flow 3"
3.62973,29.8,"Flow 4"
80.3062,29.8,"Flow 5"
3.62973,29.8,"Flow 6"
80.3062,29.8,"Flow 7"
3.62973,29.8,"Flow 8"
95.5048,29.9,"Flow 1"
80.3062,29.9,"Flow 2"
4.28402,29.9,"Flow 3"
3.62973,29.9,"Flow 4"
80.3062,29.9,"Flow 5"
3.62973,29.9,"Flow 6"
80.3062,29.9,"Flow 7"
3.62973,29.9,"Flow 8"
95.5048,30,"Flow 1"
80.3062,30,"Flow 2"
4.28402,30,"Flow 3"
3.62973,30,"Flow 4"
80.3062,30,"Flow 5"
3.62973,30,"Flow 6"
80.3062,30,"Flow 7"
3.62973,30,"Flow 8"
95.5048,30.1,"Flow 1"
80.3062,30.1,"Flow 2"
4.28402,30.1,"Flow 3"
3.62973,30.1,"Flow 4"
80.3062,30.1,"Flow 5"
3.62973,30.1,"Flow 6"
80.3062,30.1,"Flow 7"
3.62973,30.1,"Flow 8"
95.5048,30.2,"Flow 1"
80.3062,30.2,"Flow 2"
4.28402,30.2,"Flow 3"
3.62973,30.2,"Flow 4"
80.3062,30.2,"Flow 5"
3.62973,30.2,"Flow 6"
80.3062,30.2,"Flow 7"
3.62973,30.2,"Flow 8"
95.5048,30.3,"Flow 1"
80.3062,30.3,"Flow 2"
4.28402,30.3,"Flow 3"
3.62973,30.3,"Flow 4"
80.3062,30.3,"Flow 5"
3.62973,30.3,"Flow 6"
80.3062,30.3,"Flow 7"
3.62973,30.3,"Flow 8"
95.5048,30.4,"Flow 1"
80.3062,30.4,"Flow 2"
4.28402,30.4,"Flow 3"
3.62973,30.4,"Flow 4"
80.3062,30.4,"Flow 5"
3.62973,30.4,"Flow 6"
80.3062,30.4,"Flow 7"
3.62973,30.4,"Flow 8"
95.5048,30.5,"Flow 1"
80.3062,30.5,"Flow 2"
4.28402,30.5,"Flow 3"
3.62973,30.5,"Flow 4"
80.3062,30.5,"Flow 5"
3.62973,30.5,"Flow 6"
80.3062,30.5,"Flow 7"
3.62973,30.5,"Flow 8"
95.5048,30.6,"Flow 1"
80.3062,30.6,"Flow 2"
4.28402,30.6,"Flow 3"
3.62973,30.6,"Flow 4"
80.3062,30.6,"Flow 5"
3.62973,30.6,"Flow 6"
80.3062,30.6,"Flow 7"
3.62973,30.6,"Flow 8"
95.5048,30.7,"Flow 1"
80.3062,30.7,"Flow 2"
4.28402,30.7,"Flow 3"
3.62973,30.7,"Flow 4"
80.3062,30.7,"Flow 5"
3.62973,30.7,"Flow 6"
80.3062,30.7,"Flow 7"
3.62973,30.7,"Flow 8"
95.5048,30.8,"Flow 1"
80.3062,30.8,"Flow 2"
4.28402,30.8,"Flow 3"
3.62973,30.8,"Flow 4"
80.3062,30.8,"Flow 5"
3.62973,30.8,"Flow 6"
80.3062,30.8,"Flow 7"
3.62973,30.8,"Flow 8"
95.5048,30.9,"Flow 1"
80.3062,30.9,"Flow 2"
4.28402,30.9,"Flow 3"
3.62973,30.9,"Flow 4"
80.3062,30.9,"Flow 5"
3.62973,30.9,"Flow 6"
80.3062,30.9,"Flow 7"
3.62973,30.9,"Flow 8"
95.5048,31,"Flow 1"
80.3062,31,"Flow 2"
4.28402,31,"Flow 3"
3.62973,31,"Flow 4"
80.3062,31,"Flow 5"
3.62973,31,"Flow 6"
80.3062,31,"Flow 7"
3.62973,31,"Flow 8"
95.5048,31.1,"Flow 1"
80.3062,31.1,"Flow 2"
4.28402,31.1,"Flow 3"
3.62973,31.1,"Flow 4"
80.3062,31.1,"Flow 5"
3.62973,31.1,"Flow 6"
80.3062,31.1,"Flow 7"
3.62973,31.1,"Flow 8"
95.5048,31.2,"Flow 1"
80.3062,31.2,"Flow 2"
4.28402,31.2,"Flow 3"
3.62973,31.2,"Flow 4"
80.3062,31.2,"Flow 5"
3.62973,31.2,"Flow 6"
80.3062,31.2,"Flow 7"
3.62973,31.2,"Flow 8"
95.5048,31.3,"Flow 1"
80.3062,31.3,"Flow 2"
4.28402,31.3,"Flow 3"
3.62973,31.3,"Flow 4"
80.3062,31.3,"Flow 5"
3.62973,31.3,"Flow 6"
80.3062,31.3,"Flow 7"
3.62973,31.3,"Flow 8"
95.5048,31.4,"Flow 1"
80.3062,31.4,"Flow 2"
4.28402,31.4,"Flow 3"
3.62973,31.4,"Flow 4"
80.3062,31.4,"Flow 5"
3.62973,31.4,"Flow 6"
80.3062,31.4,"Flow 7"
3.62973,31.4,"Flow 8"
95.5048,31.5,"Flow 1"
80.3062,31.5,"Flow 2"
4.28402,31.5,"Flow 3"
3.62973,31.5,"Flow 4"
80.3062,31.5,"Flow 5"
3.62973,31.5,"Flow 6"
80.3062,31.5,"Flow 7"
3.62973,31.5,"Flow 8"
95.5048,31.6,"Flow 1"
80.3062,31.6,"Flow 2"
4.28402,31.6,"Flow 3"
3.62973,31.6,"Flow 4"
80.3062,31.6,"Flow 5"
3.62973,31.6,"Flow 6"
80.3062,31.6,"Flow 7"
3.62973,31.6,"Flow 8"
95.5048,31.7,"Flow 1"
80.3062,31.7,"Flow 2"
4.28402,31.7,"Flow 3"
3.62973,31.7,"Flow 4"
80.3062,31.7,"Flow 5"
3.62973,31.7,"Flow 6"
80.3062,31.7,"Flow 7"
3.62973,31.7,"Flow 8"
95.5048,31.8,"Flow 1"
80.3062,31.8,"Flow 2"
4.28402,31.8,"Flow 3"
3.62973,31.8,"Flow 4"
80.3062,31.8,"Flow 5"
3.62973,31.8,"Flow 6"
80.3062,31.8,"Flow 7"
3.62973,31.8,"Flow 8"
95.5048,31.9,"Flow 1"
80.3062,31.9,"Flow 2"
4.28402,31.9,"Flow 3"
3.62973,31.9,"Flow 4"
80.3062,31.9,"Flow 5"
3.62973,31.9,"Flow 6"
80.3062,31.9,"Flow 7"
3.62973,31.9,"Flow 8"
95.5048,32,"Flow 1"
80.3062,32,"Flow 2"
4.28402,32,"Flow 3"
3.62973,32,"Flow 4"
80.3062,32,"Flow 5"
3.62973,32,"Flow 6"
80.3062,32,"Flow 7"
3.62973,32,"Flow 8"
95.5048,32.1,"Flow 1"
80.3062,32.1,"Flow 2"
4.28402,32.1,"Flow 3"
3.62973,32.1,"Flow 4"
80.3062,32.1,"Flow 5"
3.62973,32.1,"Flow 6"
80.3062,32.1,"Flow 7"
3.62973,32.1,"Flow 8"
95.5048,32.2,"Flow 1"
80.3062,32.2,"Flow 2"
4.28402,32.2,"Flow 3"
3.62973,32.2,"Flow 4"
80.3062,32.2,"Flow 5"
3.62973,32.2,"Flow 6"
80.3062,32.2,"Flow 7"
3.62973,32.2,"Flow 8"
95.5048,32.3,"Flow 1"
80.3062,32.3,"Flow 2"
4.28402,32.3,"Flow 3"
3.62973,32.3,"Flow 4"
80.3062,32.3,"Flow 5"
3.62973,32.3,"Flow 6"
80.3062,32.3,"Flow 7"
3.62973,32.3,"Flow 8"
95.5048,32.4,"Flow 1"
80.3062,32.4,"Flow 2"
4.28402,32.4,"Flow 3"
3.62973,32.4,"Flow 4"
80.3062,32.4,"Flow 5"
3.62973,32.4,"Flow 6"
80.3062,32.4,"Flow 7"
3.62973,32.4,"Flow 8"
95.5048,32.5,"Flow 1"
80.3062,32.5,"Flow 2"
4.28402,32.5,"Flow 3"
3.62973,32.5,"Flow 4"
80.3062,32.5,"Flow 5"
3.62973,32.5,"Flow 6"
80.3062,32.5,"Flow 7"
3.62973,32.5,"Flow 8"
95.5048,32.6,"Flow 1"
80.3062,32.6,"Flow 2"
4.28402,32.6,"Flow 3"
3.62973,32.6,"Flow 4"
80.3062,32.6,"Flow 5"
3.62973,32.6,"Flow 6"
80.3062,32.6,"Flow 7"
3.62973,32.6,"Flow 8"
95.5048,32.7,"Flow 1"
80.3062,32.7,"Flow 2"
4.28402,32.7,"Flow 3"
3.62973,32.7,"Flow 4"
80.3062,32.7,"Flow 5"
3.62973,32.7,"Flow 6"
80.3062,32.7,"Flow 7"
3.62973,32.7,"Flow 8"
95.5048,32.8,"Flow 1"
80.3062,32.8,"Flow 2"
4.28402,32.8,"Flow 3"
3.62973,32.8,"Flow 4"
80.3062,32.8,"Flow 5"
3.62973,32.8,"Flow 6"
80.3062,32.8,"Flow 7"
3.62973,32.8,"Flow 8"
95.5048,32.9,"Flow 1"
80.3062,32.9,"Flow 2"
4.28402,32.9,"Flow 3"
3.62973,32.9,"Flow 4"
80.3062,32.9,"Flow 5"
3.62973,32.9,"Flow 6"
80.3062,32.9,"Flow 7"
3.62973,32.9,"Flow 8"
95.5048,33,"Flow 1"
80.3062,33,"Flow 2"
4.28402,33,"Flow 3"
3.62973,33,"Flow 4"
80.3062,33,"Flow 5"
3.62973,33,"Flow 6"
80.3062,33,"Flow 7"
3.62973,33,"Flow 8"
95.5048,33.1,"Flow 1"
80.3062,33.1,"Flow 2"
4.28402,33.1,"Flow 3"
3.62973,33.1,"Flow 4"
80.3062,33.1,"Flow 5"
3.62973,33.1,"Flow 6"
80.3062,33.1,"Flow 7"
3.62973,33.1,"Flow 8"
95.5048,33.2,"Flow 1"
80.3062,33.2,"Flow 2"
4.28402,33.2,"Flow 3"
3.62973,33.2,"Flow 4"
80.3062,33.2,"Flow 5"
3.62973,33.2,"Flow 6"
80.3062,33.2,"Flow 7"
3.62973,33.2,"Flow 8"
95.5048,33.3,"Flow 1"
80.3062,33.3,"Flow 2"
4.28402,33.3,"Flow 3"
3.62973,33.3,"Flow 4"
80.3062,33.3,"Flow 5"
3.62973,33.3,"Flow 6"
80.3062,33.3,"Flow 7"
3.62973,33.3,"Flow 8"
95.5048,33.4,"Flow 1"
80.3062,33.4,"Flow 2"
4.28402,33.4,"Flow 3"
3.62973,33.4,"Flow 4"
80.3062,33.4,"Flow 5"
3.62973,33.4,"Flow 6"
80.3062,33.4,"Flow 7"
3.62973,33.4,"Flow 8"
95.5048,33.5,"Flow 1"
80.3062,33.5,"Flow 2"
4.28402,33.5,"Flow 3"
3.62973,33.5,"Flow 4"
80.3062,33.5,"Flow 5"
3.62973,33.5,"Flow 6"
80.3062,33.5,"Flow 7"
3.62973,33.5,"Flow 8"
95.5048,33.6,"Flow 1"
80.3062,33.6,"Flow 2"
4.28402,33.6,"Flow 3"
3.62973,33.6,"Flow 4"
80.3062,33.6,"Flow 5"
3.62973,33.6,"Flow 6"
80.3062,33.6,"Flow 7"
3.62973,33.6,"Flow 8"
95.5048,33.7,"Flow 1"
80.3062,33.7,"Flow 2"
4.28402,33.7,"Flow 3"
3.62973,33.7,"Flow 4"
80.3062,33.7,"Flow 5"
3.62973,33.7,"Flow 6"
80.3062,33.7,"Flow 7"
3.62973,33.7,"Flow 8"
95.5048,33.8,"Flow 1"
80.3062,33.8,"Flow 2"
4.28402,33.8,"Flow 3"
3.62973,33.8,"Flow 4"
80.3062,33.8,"Flow 5"
3.62973,33.8,"Flow 6"
80.3062,33.8,"Flow 7"
3.62973,33.8,"Flow 8"
95.5048,33.9,"Flow 1"
80.3062,33.9,"Flow 2"
4.28402,33.9,"Flow 3"
3.62973,33.9,"Flow 4"
80.3062,33.9,"Flow 5"
3.62973,33.9,"Flow 6"
80.3062,33.9,"Flow 7"
3.62973,33.9,"Flow 8"
95.5048,34,"Flow 1"
80.3062,34,"Flow 2"
4.28402,34,"Flow 3"
3.62973,34,"Flow 4"
80.3062,34,"Flow 5"
3.62973,34,"Flow 6"
80.3062,34,"Flow 7"
3.62973,34,"Flow 8"
95.5048,34.1,"Flow 1"
80.3062,34.1,"Flow 2"
4.28402,34.1,"Flow 3"
3.62973,34.1,"Flow 4"
80.3062,34.1,"Flow 5"
3.62973,34.1,"Flow 6"
80.3062,34.1,"Flow 7"
3.62973,34.1,"Flow 8"
95.5048,34.2,"Flow 1"
80.3062,34.2,"Flow 2"
4.28402,34.2,"Flow 3"
3.62973,34.2,"Flow 4"
80.3062,34.2,"Flow 5"
3.62973,34.2,"Flow 6"
80.3062,34.2,"Flow 7"
3.62973,34.2,"Flow 8"
95.5048,34.3,"Flow 1"
80.3062,34.3,"Flow 2"
4.28402,34.3,"Flow 3"
3.62973,34.3,"Flow 4"
80.3062,34.3,"Flow 5"
3.62973,34.3,"Flow 6"
80.3062,34.3,"Flow 7"
3.62973,34.3,"Flow 8"
95.5048,34.4,"Flow 1"
80.3062,34.4,"Flow 2"
4.28402,34.4,"Flow 3"
3.62973,34.4,"Flow 4"
80.3062,34.4,"Flow 5"
3.62973,34.4,"Flow 6"
80.3062,34.4,"Flow 7"
3.62973,34.4,"Flow 8"
95.5048,34.5,"Flow 1"
80.3062,34.5,"Flow 2"
4.28402,34.5,"Flow 3"
3.62973,34.5,"Flow 4"
80.3062,34.5,"Flow 5"
3.62973,34.5,"Flow 6"
80.3062,34.5,"Flow 7"
3.62973,34.5,"Flow 8"
95.5048,34.6,"Flow 1"
80.3062,34.6,"Flow 2"
4.28402,34.6,"Flow 3"
3.62973,34.6,"Flow 4"
80.3062,34.6,"Flow 5"
3.62973,34.6,"Flow 6"
80.3062,34.6,"Flow 7"
3.62973,34.6,"Flow 8"
95.5048,34.7,"Flow 1"
80.3062,34.7,"Flow 2"
4.28402,34.7,"Flow 3"
3.62973,34.7,"Flow 4"
80.3062,34.7,"Flow 5"
3.62973,34.7,"Flow 6"
80.3062,34.7,"Flow 7"
3.62973,34.7,"Flow 8"
95.5048,34.8,"Flow 1"
80.3062,34.8,"Flow 2"
4.28402,34.8,"Flow 3"
3.62973,34.8,"Flow 4"
80.3062,34.8,"Flow 5"
3.62973,34.8,"Flow 6"
80.3062,34.8,"Flow 7"
3.62973,34.8,"Flow 8"
95.5048,34.9,"Flow 1"
80.3062,34.9,"Flow 2"
4.28402,34.9,"Flow 3"
3.62973,34.9,"Flow 4"
80.3062,34.9,"Flow 5"
3.62973,34.9,"Flow 6"
80.3062,34.9,"Flow 7"
3.62973,34.9,"Flow 8"
95.5048,35,"Flow 1"
80.3062,35,"Flow 2"
4.28402,35,"Flow 3"
3.62973,35,"Flow 4"
80.3062,35,"Flow 5"
3.62973,35,"Flow 6"
80.3062,35,"Flow 7"
3.62973,35,"Flow 8"
95.5048,35.1,"Flow 1"
80.3062,35.1,"Flow 2"
4.28402,35.1,"Flow 3"
3.62973,35.1,"Flow 4"
80.3062,35.1,"Flow 5"
3.62973,35.1,"Flow 6"
80.3062,35.1,"Flow 7"
3.62973,35.1,"Flow 8"
95.5048,35.2,"Flow 1"
80.3062,35.2,"Flow 2"
4.28402,35.2,"Flow 3"
3.62973,35.2,"Flow 4"
80.3062,35.2,"Flow 5"
3.62973,35.2,"Flow 6"
80.3062,35.2,"Flow 7"
3.62973,35.2,"Flow 8"
95.5048,35.3,"Flow 1"
80.3062,35.3,"Flow 2"
4.28402,35.3,"Flow 3"
3.62973,35.3,"Flow 4"
80.3062,35.3,"Flow 5"
3.62973,35.3,"Flow 6"
80.3062,35.3,"Flow 7"
3.62973,35.3,"Flow 8"
95.5048,35.4,"Flow 1"
80.3062,35.4,"Flow 2"
4.28402,35.4,"Flow 3"
3.62973,35.4,"Flow 4"
80.3062,35.4,"Flow 5"
3.62973,35.4,"Flow 6"
80.3062,35.4,"Flow 7"
3.62973,35.4,"Flow 8"
95.5048,35.5,"Flow 1"
80.3062,35.5,"Flow 2"
4.28402,35.5,"Flow 3"
3.62973,35.5,"Flow 4"
80.3062,35.5,"Flow 5"
3.62973,35.5,"Flow 6"
80.3062,35.5,"Flow 7"
3.62973,35.5,"Flow 8"
95.5048,35.6,"Flow 1"
80.3062,35.6,"Flow 2"
4.28402,35.6,"Flow 3"
3.62973,35.6,"Flow 4"
80.3062,35.6,"Flow 5"
3.62973,35.6,"Flow 6"
80.3062,35.6,"Flow 7"
3.62973,35.6,"Flow 8"
95.5048,35.7,"Flow 1"
80.3062,35.7,"Flow 2"
4.28402,35.7,"Flow 3"
3.62973,35.7,"Flow 4"
80.3062,35.7,"Flow 5"
3.62973,35.7,"Flow 6"
80.3062,35.7,"Flow 7"
3.62973,35.7,"Flow 8"
95.5048,35.8,"Flow 1"
80.3062,35.8,"Flow 2"
4.28402,35.8,"Flow 3"
3.62973,35.8,"Flow 4"
80.3062,35.8,"Flow 5"
3.62973,35.8,"Flow 6"
80.3062,35.8,"Flow 7"
3.62973,35.8,"Flow 8"
95.5048,35.9,"Flow 1"
80.3062,35.9,"Flow 2"
4.28402,35.9,"Flow 3"
3.62973,35.9,"Flow 4"
80.3062,35.9,"Flow 5"
3.62973,35.9,"Flow 6"
80.3062,35.9,"Flow 7"
3.62973,35.9,"Flow 8"
95.5048,36,"Flow 1"
80.3062,36,"Flow 2"
4.28402,36,"Flow 3"
3.62973,36,"Flow 4"
80.3062,36,"Flow 5"
3.62973,36,"Flow 6"
80.3062,36,"Flow 7"
3.62973,36,"Flow 8"
95.5048,36.1,"Flow 1"
80.3062,36.1,"Flow 2"
4.28402,36.1,"Flow 3"
3.62973,36.1,"Flow 4"
80.3062,36.1,"Flow 5"
3.62973,36.1,"Flow 6"
80.3062,36.1,"Flow 7"
3.62973,36.1,"Flow 8"
95.5048,36.2,"Flow 1"
80.3062,36.2,"Flow 2"
4.28402,36.2,"Flow 3"
3.62973,36.2,"Flow 4"
80.3062,36.2,"Flow 5"
3.62973,36.2,"Flow 6"
80.3062,36.2,"Flow 7"
3.62973,36.2,"Flow 8"
95.5048,36.3,"Flow 1"
80.3062,36.3,"Flow 2"
4.28402,36.3,"Flow 3"
3.62973,36.3,"Flow 4"
80.3062,36.3,"Flow 5"
3.62973,36.3,"Flow 6"
80.3062,36.3,"Flow 7"
3.62973,36.3,"Flow 8"
95.5048,36.4,"Flow 1"
80.3062,36.4,"Flow 2"
4.28402,36.4,"Flow 3"
3.62973,36.4,"Flow 4"
80.3062,36.4,"Flow 5"
3.62973,36.4,"Flow 6"
80.3062,36.4,"Flow 7"
3.62973,36.4,"Flow 8"
95.5048,36.5,"Flow 1"
80.3062,36.5,"Flow 2"
4.28402,36.5,"Flow 3"
3.62973,36.5,"Flow 4"
80.3062,36.5,"Flow 5"
3.62973,36.5,"Flow 6"
80.3062,36.5,"Flow 7"
3.62973,36.5,"Flow 8"
95.5048,36.6,"Flow 1"
80.3062,36.6,"Flow 2"
4.28402,36.6,"Flow 3"
3.62973,36.6,"Flow 4"
80.3062,36.6,"Flow 5"
3.62973,36.6,"Flow 6"
80.3062,36.6,"Flow 7"
3.62973,36.6,"Flow 8"
95.5048,36.7,"Flow 1"
80.3062,36.7,"Flow 2"
4.28402,36.7,"Flow 3"
3.62973,36.7,"Flow 4"
80.3062,36.7,"Flow 5"
3.62973,36.7,"Flow 6"
80.3062,36.7,"Flow 7"
3.62973,36.7,"Flow 8"
95.5048,36.8,"Flow 1"
80.3062,36.8,"Flow 2"
4.28402,36.8,"Flow 3"
3.62973,36.8,"Flow 4"
80.3062,36.8,"Flow 5"
3.62973,36.8,"Flow 6"
80.3062,36.8,"Flow 7"
3.62973,36.8,"Flow 8"
95.5048,36.9,"Flow 1"
80.3062,36.9,"Flow 2"
4.28402,36.9,"Flow 3"
3.62973,36.9,"Flow 4"
80.3062,36.9,"Flow 5"
3.62973,36.9,"Flow 6"
80.3062,36.9,"Flow 7"
3.62973,36.9,"Flow 8"
95.5048,37,"Flow 1"
80.3062,37,"Flow 2"
4.28402,37,"Flow 3"
3.62973,37,"Flow 4"
80.3062,37,"Flow 5"
3.62973,37,"Flow 6"
80.3062,37,"Flow 7"
3.62973,37,"Flow 8"
95.5048,37.1,"Flow 1"
80.3062,37.1,"Flow 2"
4.28402,37.1,"Flow 3"
3.62973,37.1,"Flow 4"
80.3062,37.1,"Flow 5"
3.62973,37.1,"Flow 6"
80.3062,37.1,"Flow 7"
3.62973,37.1,"Flow 8"
95.5048,37.2,"Flow 1"
80.3062,37.2,"Flow 2"
4.28402,37.2,"Flow 3"
3.62973,37.2,"Flow 4"
80.3062,37.2,"Flow 5"
3.62973,37.2,"Flow 6"
80.3062,37.2,"Flow 7"
3.62973,37.2,"Flow 8"
95.5048,37.3,"Flow 1"
80.3062,37.3,"Flow 2"
4.28402,37.3,"Flow 3"
3.62973,37.3,"Flow 4"
80.3062,37.3,"Flow 5"
3.62973,37.3,"Flow 6"
80.3062,37.3,"Flow 7"
3.62973,37.3,"Flow 8"
95.5048,37.4,"Flow 1"
80.3062,37.4,"Flow 2"
4.28402,37.4,"Flow 3"
3.62973,37.4,"Flow 4"
80.3062,37.4,"Flow 5"
3.62973,37.4,"Flow 6"
80.3062,37.4,"Flow 7"
3.62973,37.4,"Flow 8"
95.5048,37.5,"Flow 1"
80.3062,37.5,"Flow 2"
4.28402,37.5,"Flow 3"
3.62973,37.5,"Flow 4"
80.3062,37.5,"Flow 5"
3.62973,37.5,"Flow 6"
80.3062,37.5,"Flow 7"
3.62973,37.5,"Flow 8"
95.5048,37.6,"Flow 1"
80.3062,37.6,"Flow 2"
4.28402,37.6,"Flow 3"
3.62973,37.6,"Flow 4"
80.3062,37.6,"Flow 5"
3.62973,37.6,"Flow 6"
80.3062,37.6,"Flow 7"
3.62973,37.6,"Flow 8"
95.5048,37.7,"Flow 1"
80.3062,37.7,"Flow 2"
4.28402,37.7,"Flow 3"
3.62973,37.7,"Flow 4"
80.3062,37.7,"Flow 5"
3.62973,37.7,"Flow 6"
80.3062,37.7,"Flow 7"
3.62973,37.7,"Flow 8"
95.5048,37.8,"Flow 1"
80.3062,37.8,"Flow 2"
4.28402,37.8,"Flow 3"
3.62973,37.8,"Flow 4"
80.3062,37.8,"Flow 5"
3.62973,37.8,"Flow 6"
80.3062,37.8,"Flow 7"
3.62973,37.8,"Flow 8"
95.5048,37.9,"Flow 1"
80.3062,37.9,"Flow 2"
4.28402,37.9,"Flow 3"
3.62973,37.9,"Flow 4"
80.3062,37.9,"Flow 5"
3.62973,37.9,"Flow 6"
80.3062,37.9,"Flow 7"
3.62973,37.9,"Flow 8"
95.5048,38,"Flow 1"
80.3062,38,"Flow 2"
4.28402,38,"Flow 3"
3.62973,38,"Flow 4"
80.3062,38,"Flow 5"
3.62973,38,"Flow 6"
80.3062,38,"Flow 7"
3.62973,38,"Flow 8"
95.5048,38.1,"Flow 1"
80.3062,38.1,"Flow 2"
4.28402,38.1,"Flow 3"
3.62973,38.1,"Flow 4"
80.3062,38.1,"Flow 5"
3.62973,38.1,"Flow 6"
80.3062,38.1,"Flow 7"
3.62973,38.1,"Flow 8"
95.5048,38.2,"Flow 1"
80.3062,38.2,"Flow 2"
4.28402,38.2,"Flow 3"
3.62973,38.2,"Flow 4"
80.3062,38.2,"Flow 5"
3.62973,38.2,"Flow 6"
80.3062,38.2,"Flow 7"
3.62973,38.2,"Flow 8"
95.5048,38.3,"Flow 1"
80.3062,38.3,"Flow 2"
4.28402,38.3,"Flow 3"
3.62973,38.3,"Flow 4"
80.3062,38.3,"Flow 5"
3.62973,38.3,"Flow 6"
80.3062,38.3,"Flow 7"
3.62973,38.3,"Flow 8"
95.5048,38.4,"Flow 1"
80.3062,38.4,"Flow 2"
4.28402,38.4,"Flow 3"
3.62973,38.4,"Flow 4"
80.3062,38.4,"Flow 5"
3.62973,38.4,"Flow 6"
80.3062,38.4,"Flow 7"
3.62973,38.4,"Flow 8"
95.5048,38.5,"Flow 1"
80.3062,38.5,"Flow 2"
4.28402,38.5,"Flow 3"
3.62973,38.5,"Flow 4"
80.3062,38.5,"Flow 5"
3.62973,38.5,"Flow 6"
80.3062,38.5,"Flow 7"
3.62973,38.5,"Flow 8"
95.5048,38.6,"Flow 1"
80.3062,38.6,"Flow 2"
4.28402,38.6,"Flow 3"
3.62973,38.6,"Flow 4"
80.3062,38.6,"Flow 5"
3.62973,38.6,"Flow 6"
80.3062,38.6,"Flow 7"
3.62973,38.6,"Flow 8"
95.5048,38.7,"Flow 1"
80.3062,38.7,"Flow 2"
4.28402,38.7,"Flow 3"
3.62973,38.7,"Flow 4"
80.3062,38.7,"Flow 5"
3.62973,38.7,"Flow 6"
80.3062,38.7,"Flow 7"
3.62973,38.7,"Flow 8"
95.5048,38.8,"Flow 1"
80.3062,38.8,"Flow 2"
4.28402,38.8,"Flow 3"
3.62973,38.8,"Flow 4"
80.3062,38.8,"Flow 5"
3.62973,38.8,"Flow 6"
80.3062,38.8,"Flow 7"
3.62973,38.8,"Flow 8"
95.5048,38.9,"Flow 1"
80.3062,38.9,"Flow 2"
4.28402,38.9,"Flow 3"
3.62973,38.9,"Flow 4"
80.3062,38.9,"Flow 5"
3.62973,38.9,"Flow 6"
80.3062,38.9,"Flow 7"
3.62973,38.9,"Flow 8"
95.5048,39,"Flow 1"
